"PRODUCT_NAME","Avg_Cost"
"INVOKANA",2377.38
"APRISO",2341
"RESTASIS",2331
"XIIDRA 5%",2328.5
"TIVICAY TA",2318.33
"VIVITROL (",2297
"ATORVASTAT",2287.62
"VYVANSE 40",2256
"CRYTSELLE",2252
"HUMALOG KW",2248.82
"ALBUTEROL",2247.33
"LO LOESTRI",2226
"VYVANSE 30",2191.5
"AMOX CLAV",2189.06
"GNP ALCOHO",2174
"SILTUSSIN",2166.33
"TRI-LO-MAR",2138.25
"POLYETHYLE",2125.29
"SENNA LAXA",2084.64
"TRI-LO SPR",2076.75
"COMPLERA",2063
"TRADJENTA",2031
"GUIATUSS",2025.75
"STRIBILD",1981
"LAXATIVE E",1917.75
"BROMPHENIR",1904.8
"MULTIVITAM",1888
"REGULOID/",1857.38
"VYVANSE 50",1843.5
"MUCINEX 40",1833.5
"NOVOLOG MI",1774.25
"DEXMETHASO",1761.5
"TENOFOVIR",1756.55
"NAPROXEN 5",1754.2
"JUNEL 21 D",1752
"HUMALOG",1749.71
"HECTOROL I",1746.33
"LOSARTAIN",1741.5
"EPIPEN EPI",1739.5
"KETOCONAZO",1725.39
"TERCONAZOL",1702.38
"ALOXI .25M",1696
"TRIMETHOPR",1692.54
"BREO ELLIP",1658.38
"TAMSULOSIN",1649.67
"CHANTIX (V",1609.36
"FALLBACK S",1600
"JANUVIA 50",1585.14
"VYVANSE 70",1584.5
"Q-PAP EXTR",1578.5
"EYLEA  (AF",1577
"ONFI 10MG",1569
"MUCINEX 10",1551
"LINZESS 14",1547
"TACTINAL E",1544.13
"NUVARING R",1533.5
"TRIPHRO CA",1529
"LEVOTHYROX",1508.09
"CETIRIZINE",1505.75
"XARELTO (R",1504.5
"CYANOCOBAL",1500.35
"LUBRIFRESH",1499.25
"TRINESSA 6",1494
"LINZESS 29",1493
"EARWAX TRE",1486.5
"MVC FLUORI",1476.82
"APIDRA 3ML",1468
"MY WAY  TA",1450.75
"CHILD'S IB",1439
"VOLTAREN G",1436.5
"ATROVENT H",1419
"DENTA 5000",1416.67
"PNV PLUS (",1413.2
"ETH/NOR 35",1406.25
"IBUPROFEN",1405.46
"SUDAGEST 3",1403.25
"TRAZODONE",1402.8
"ACETAMINOP",1397.37
"RANEXA (RA",1396.5
"VYVANSE 60",1388.5
"ELIQUIS",1372.91
"PREDNISOLO",1365.62
"PROCTOSOL",1361
"DULERA INH",1355.75
"COLCHICINE",1355.67
"HYDRO OT 1",1354.5
"AZITHROMYC",1347.93
"PREMARIN V",1344
"Q-PAP (UNB",1343.5
"APRI 28 DA",1338.75
"AZELASTINE",1336.17
"OMEPRAZOLE",1330.12
"GLUCAGON",1313
"VYVANSE 20",1296.5
"DIPHENHIST",1294.57
"BRILINTA 9",1293.5
"AVASTIN (B",1289.75
"HYDORCORTI",1286
"NEOMYCIN-P",1282.5
"SENEXON-S",1279.25
"AMOXICILLI",1251.69
"HALOBETASO",1236.15
"NEOMYCIN/P",1235
"NAPROXEN T",1221.56
"AFTERA (LE",1221
"LARISSIA (",1213
"PANTOPRAZO",1209.82
"CHILDREN'S",1208.62
"BENZOYL PE",1203.3
"BOTOX BOTU",1196.5
"GNP ARTIFI",1183
"REFRESH PL",1182.33
"ABREVA( DO",1182
"ALMACONE A",1181.5
"OMEGA-3 GC",1167.5
"JARDIANCE",1162.45
"HYDROCHLOR",1160.36
"SUDAFED 12",1149
"AMOXICI CL",1141.5
"BENZONATAT",1140.63
"SULFAMETHO",1138.84
"LEXISCAN .",1127
"MI-ACID GA",1122
"RANITIDINE",1121.44
"MONO-LINYA",1119.25
"TRI-LINYAH",1118.75
"METORPROLO",1115.4
"LOTRIMAZOL",1113.25
"PERMETHRIN",1112.8
"CYCLOBENZA",1109.54
"BROTAAP LI",1107
"HUMIRA - A",1095.88
"NEOMYCIN A",1094.33
"XOLAIR (OL",1092
"ASPIRIN -",1090.5
"ZUBSOLV 5.",1089.5
"ATENOLOL/C",1089
"EAR DROPS",1088
"ASPIRIN 81",1087.22
"PREVIFEM",1075
"MELOXICAM",1056.79
"PALIVIZUMA",1054
"AVIANE TAB",1046.75
"LDR IBU CH",1044.5
"CEFDINIR O",1042.56
"ATENOLOL T",1033.31
"MAVYRET 10",1020
"PREDNISONE",1019.95
"BETA NAPO4",1015
"TRESIBA FL",1013.25
"SERTRALINE",1012.21
"BISACODYL",1002.15
"TACTINAL R",999
"CHEWABLE A",995
"TRINESSA L",987.5
"PHARBETOL",986.75
"POLYETHELE",984
"FAMOTIDINE",973.94
"SYSTANE",973
"METFORMIN",966.77
"CAMILA  TA",964.67
"BYDUREON P",961
"SENNA TABS",960.83
"OFLOXACIN",959.74
"MUCINEX DM",958.4
"METOPROLOL",954.03
"DIPHENHYDR",945.51
"CODEINE-GU",945.5
"FLUOROMETH",939
"LYRICA (PR",929.85
"DROSP/ETHI",928.5
"ARNUITY EL",921.17
"SIMVASTATI",920.75
"OPTIVE",919.33
"EPOGEN (EP",918.05
"BACLOFEN 1",917.32
"VENOFER (I",915.4
"NASCOBAL N",914
"ANORO ELLI",912.25
"ENALAPRIL/",908.25
"ISMN ER 30",907.25
"PEG-3350 A",904
"LATUDA (LU",902.43
"MIXED AMPH",901.47
"ASMANEX HF",899.25
"LORYNA 3MG",897.5
"TRULICITY",879.63
"PNV-DHA",874.5
"CODEINE PH",865.55
"ZOLPIDEM 5",864.54
"HM EYE ITC",863
"SUDOGEST 3",863
"ATORVASTAS",842
"Q-TUSSIN D",842
"VIRT PN DH",836.5
"MONONESSA",831.5
"NICOTROL I",831
"HYDROXYURE",830.5
"OPTION 2 (",830.5
"FIBER-LAX",822.17
"REMICADE",818.5
"SILADRYL A",816
"TAKE ACTIO",804
"MAPAP CHIL",802.25
"CLOPIDOGRE",801.38
"MAGNESIUM",799.82
"LISINOPTIL",793
"CITRANATAL",790.5
"CELESTONE",790
"ZATEAN-PN",789.5
"M-OXY TABL",789
"NEO/POLY B",786.75
"NYSTATIN C",785.75
"SENEXON NA",784.5
"LOSARTAN P",778.36
"MIFEPREX",777
"VIREAD",776.5
"CLOTRIMAZO",765.15
"MONTELUKAS",758.26
"SODIUM BIC",754.25
"DORZOLAMID",753.61
"LEVEMIR 10",748.5
"DENTAGEL B",743
"BUT / APAP",738.25
"MEDROXYPRO",737.13
"DIFLOFENAC",736.6
"NORACETHES",736.33
"MULTI-VIT",734.75
"CLINDAMYCI",732.05
"LARIN FE 1",716.17
"GABAPENTIN",713.44
"MOMETASONE",711
"AMLODIPINE",710.44
"SELENIUM S",705.25
"ONFI ORAL",702.5
"NYSTATIN 1",701.22
"DOC SOD/ S",701
"AEROSPAN (",699
"CEFDINIR P",697.63
"SHAROBEL 0",697.25
"ALTAVERA 0",697
"RULOX ANTA",697
"LOSARTAN 5",696.5
"AMOCLAN 60",687.25
"LOSARTAN &",685.5
"BACITRACIN",680.65
"BACLOFEN T",673.11
"TRINTELLIX",673
"NICOTINE T",672.82
"PATADAY",666.5
"HYDROXIZIN",666.06
"PARAGARD T",664
"CHLORTHALI",654.53
"OXCODONE H",654.5
"LISINOPRIL",651.81
"ESCITALOPR",649.23
"BETAMETH D",646.73
"ETHINYL ES",642.25
"LEVOFLOXAV",641.5
"BUTABITAL",641.25
"CEFDINIR C",637.67
"ENSKYCE 28",636.5
"DEXILANT 6",636
"REFRESH OP",631.75
"TRAMADOL 5",630.75
"ENEMA DISP",630.25
"MOVANTIK 2",628.75
"RESTASIS M",628.33
"DUCODYL",624.25
"PHENAZOPYR",623.11
"CIPROFLOX",623
"DIAZEPAM T",622.89
"PRENATAL V",622.2
"SUPREP BOW",621
"BROTAPP LI",620
"Q-TAPP DM",620
"PROLIA (DE",619
"XIFAXAN 55",619
"FLUCONAZOL",618.83
"INVEGA SUS",617.2
"FLUTIC/SAL",616
"TANZEUM (A",615.33
"SRONYX  TA",613.5
"CLONAZEPAM",613.35
"NIKKI 3 MG",611.67
"ALMACONE D",611
"VALACYCLOV",610.51
"MULTI VIT",609.75
"MI-ACID",609.5
"RENAL CAPS",609
"FARXIGA 10",605
"TRI-PREVIF",603.5
"CREON 24,0",602.25
"VIIBRYD 40",601.5
"GUANFACINE",600.89
"DIABETIC S",600.75
"EPINEPHRIN",598.14
"EDURANT 25",598
"VIMPAT 200",597.75
"CYCOBENZAP",597
"COLLAGENAS",596
"CLONIDINE",591.14
"PENTASA 50",590
"ZINC OXIDE",586.17
"PROAIR INH",585
"NATURES TE",585
"FLUOXETINE",584.81
"ZOLPIDEM T",584.78
"ELLA (ULIP",584.5
"ERRIN TABL",584.4
"ENALAPRIL",582.83
"TRIAMCINOL",580.92
"HYDROXYCHL",579.91
"NAPROXEN D",579.67
"DIMAPHEN C",577.4
"NUEDEXTA C",575.5
"BUDESONIDE",572.82
"JULEBER 28",572.25
"NARCAN (NA",572
"DICLOFENAC",562.66
"HUMULIN 70",559.17
"CEPHALEXIN",559.02
"NORETHINDR",557.33
"VOL-CARE R",556
"LOSARTAN/H",555.5
"NYSTATIN O",552.41
"ALENDRONAT",550.12
"SF 1.1% GE",550
"IPRATROPBR",548.75
"FLUOCINNON",548.5
"SYNTHROID",548.13
"PRAZOSIN H",547.65
"ULORIC 40M",545.5
"LUBRICANT",545.5
"65 NATURAL",543.25
"NITROFURAN",542.19
"BUPROPION",542.17
"S/B ENTERI",540
"AMOCLAN 40",538.17
"NEXT CHOIC",537.5
"ISENTRESS",536
"PALIVAZUMA",536
"TRAIMCINOL",535
"SSD CREAM",534.83
"METRONIDAZ",532.3
"ERTHROMYCI",528.6
"VASCEPA OR",527
"DICLEGIS",525.5
"VELCADE (B",523.5
"URSODIOL C",523.17
"TRAVATAN Z",522
"DESOGESTRE",521.33
"GLIPIZIDE",520.2
"ALPRAZOLAM",515.74
"SM ALLERGY",512
"ALOGLIPTIN",511.82
"SM ASPIRIN",511.17
"GLIMEPIRID",510.33
"Q-DRYL (AF",507.5
"ZUBSOLV 8.",505.5
"DEPO-MEDRO",504.69
"GIANVI (R)",503
"METHIMAZOL",502.2
"Q-DRYL (A.",500.5
"TOBRADEX O",499
"PROCTO-MED",497.5
"ADVAIR HFA",494.7
"MIRENA",494.25
"LOSARTAN+H",491
"BRIMONIDIN",490.93
"DICYCLOMIN",490.03
"ABACAVIR A",489
"ONDANSETRO",488.76
"LOW-OGESTR",488.4
"OXYCODONE",486.64
"TIMOLOL GE",486
"RENAGEL TA",485
"MECLIZINE",481.41
"TERBINAFIN",481.19
"VITAMIN A",481
"AMITIZA (L",476.75
"HYDROCORTI",476.58
"GEMFIBROZI",475.63
"SULFASALZI",474
"MICROGESTI",473.1
"EUCRISA (C",471
"FEXOFENADI",470.28
"TRAIM ACET",467
"PULMICORT",466.9
"METHOCARBA",466.2
"TRIAMCINAL",464.5
"CYPROHEPTA",461.84
"NYSTOP POW",460.83
"INFANTS GA",459
"ALAWAY (KE",457
"CEFDINIR 2",456
"ORSYTHIA",455.75
"HUMULIN N",455.14
"CREON (PAN",454.67
"VANDAZOLE",453.5
"EVOTAZ",453
"REGULOID S",450.5
"CEFDINIR 3",449.5
"VENOFER",447.33
"CHILDREN I",446.5
"TIZANIDINE",446.47
"BPL METOPR",445.38
"DIVALPROEX",445.2
"FENOFIRATE",445
"BUSPIRONE",438.75
"METHYLPRED",435.63
"ATENOLOL-C",435.5
"FUROSEMIDE",431
"MIRAZAPINE",429.25
"EPIPEN JR.",428.67
"ELMIRON",428
"BLISOVI  2",426.75
"LORATIDINE",426
"REFRESH SO",425.75
"OPTIVE SEN",425.5
"RENO CAPS",424
"SENSIPAR (",423.33
"LITHIUM CA",423.26
"IROSPAN 24",422
"DEXTROAMPH",421.06
"PREVACID L",417.5
"BENZTROPIN",416.6
"CIPROFLOXA",416.34
"CROMOLYN S",415.32
"RAMIPRIL 5",414.27
"FARXIGA 5M",414
"EX PHENYTO",413.5
"HYDROXYZIN",413.38
"DULOXETINE",413.31
"RAMIPRIL 1",411.53
"VYVANSE 10",410.5
"TRIESENCE",409.5
"DEPO-PROVE",409.2
"NEO/POLY/H",408.75
"TRAMADOL H",408.47
"NYAMYC 100",408.17
"PREZISTA (",406.5
"CHILD IBUP",406
"HUMALOG MI",405.2
"HYDROCHLOL",404.71
"AMITRIPTYL",404.17
"ASMANEX TW",401.89
"KALETRA-LO",398.5
"ADDERALL X",397.68
"ENDOCET TA",396.5
"VIMPAT 100",395.75
"ENTRIC COA",393
"DOXPEIN HC",392.67
"ERYTHROMYC",392.46
"LUDENT FLU",391.63
"INVANZ I.V",391.5
"INJECTAFER",391.5
"ATENOLOL 5",390.56
"CITALOPRAM",387.88
"MONOCYCLIN",387.5
"FLUNISOLID",387
"DUPIXENT 3",386.5
"JANUMET XR",382.69
"IVERMECTIN",381
"GLYBURIDE/",380.74
"JANUVIA 25",380.43
"PRAVASTATI",379.94
"NALTREXONE",379.7
"VITAMIN A+",379.67
"SUMATRIPTA",378.76
"EMEND FOR",378
"PRENATAL P",377.5
"BRILINTA 6",375.5
"BACLOFEN 2",374.86
"FENOFIBRAT",374.07
"RISPERIDON",373
"PEG 3350,",372.5
"MINTOX LIQ",372.5
"NATURAL FI",372.25
"MIRTAZAPIN",370.19
"LORAZEPRAM",369.56
"PREVACID 2",369.2
"NORDITROPI",364.25
"METHYLPHEN",363.82
"ATAZANAVIR",363.38
"SIMETHICON",363.07
"PROMETHAZI",361.6
"CABERGOLIN",361.57
"OGESTREL 0",361.5
"ONFI 20MG",361.5
"INTELENCE",361.2
"Q NOL EXTR",359.5
"METHOTREX",358.75
"AMOXICILLA",358
"FLUDROCORT",357.14
"DIBROMM CO",356.4
"QUETIAPINE",354.52
"PRAZOSIN 2",351
"OXCARBAZEP",350.9
"DEBLITANE",348.5
"SUDOGEST 6",348.5
"ASPIRIN DE",348.33
"PRAVASATAT",345.73
"VITAFOL UL",344
"REXULTI 2.",342
"AMPHETAMIN",340.57
"HYDROCORIS",340.5
"HUMULIN R",340.44
"FLOVENT DI",339.63
"SIMBRINZA",338.5
"KELNOR TAB",338.33
"ENBREL (ET",337.2
"HYDROCODON",336.15
"TOBRAMYCIN",335.09
"CAL-GEST A",334.5
"NATURAL BA",334
"ABILIFY MA",333
"BUPRENORPH",332.48
"TOPIRAMATE",331.61
"CEFDINIR 1",330.25
"TRAMADOL T",329.9
"APIDRA 10M",329.5
"S/B DOCUSA",329
"PSEUDOEPHE",328.89
"LEVONORGES",326.46
"12 HOUR NA",326
"CARTIA XT(",325.64
"SEREVENT D",323
"MUCUS RELI",322.75
"MULTI VITA",322.67
"PORTIA-28",321.5
"GENTEAL SE",321
"VALPROIC A",319.57
"SULFATRIM",319
"CONSTULOSE",318.25
"OTEZLA (AP",317.75
"NAPROXEN 3",317.47
"CALC CARB",317.33
"OMEGA-3-AC",317
"ZEMPLAR, 5",317
"BANOPHEN 2",316.67
"IPRATROPIU",316.53
"METHOTREXA",316.07
"PIMTREA .1",316
"ANASTROZOL",315.9
"REXULTI 1.",312.5
"PRENATE MI",312.5
"BENAPHEN",311
"CLARITHROM",310.7
"DIAZEPAM 5",310.58
"ALLOPURINO",310.14
"NULYTELY L",309.5
"PENNSAID",308.5
"BETAMETH V",307
"NEULASTA (",307
"KRISTALOSE",306.25
"MYORISAN 3",306
"XGEVA (DEN",305
"MALATHION",304.5
"0.9% SODIU",303.59
"CUVPOSA OR",303.5
"KETOROLAC",303.03
"Q-TUSSIN (",303
"AUG BETAME",302.25
"PBOS (LEVO",302
"HYDROMET S",302
"OXYBUTYNIN",301.73
"NIFEDIPINE",300.21
"ENPRESSE T",298.5
"LILLOW (NO",298
"WARFARIN 5",297.5
"ALBENZA (A",296
"LEVOCARNIT",295.63
"VIIBRYD 20",294.5
"CEFDINIR S",294
"NORTRIPTYL",293.81
"METOCLOPRA",293.61
"NOVOLIN 70",293
"PREPLUS OR",292.83
"ALMACONE C",292.5
"ASPIRIN 5G",292
"LUTERA TAB",290.33
"GOLYTELY",290
"BANZEL ORA",289
"LACTULOSE",288.11
"CARVEDILOL",287.58
"FORTEO",287.5
"LOSARTAN 1",286.27
"ALPHAGAN P",286
"TRI-LO-EST",284.5
"LOSARTAN H",284.07
"TEGRETOL S",284
"SOD BICARB",283.4
"PENICILLIN",282.95
"CREON 12,0",282.75
"ATENOLOL 2",282.64
"JENTADUETO",282.61
"FINASTERID",282.01
"RITONAVIR",282
"TAMIFLU 75",279.5
"CALCIUM AN",278.18
"CALCIUM RE",277.5
"PROPRAN 20",277.5
"SENNA TABL",276.86
"DEXAMETHAS",276.73
"MOVANTIK 1",276.5
"FALMINA 0.",274.2
"ENEMEEZ MI",274
"KARIVA TAB",272.75
"PRAZOSIN 1",272.17
"TEGRETOL X",271.5
"NIFEDIPHIN",271.5
"VIMPAT 50M",271.5
"SENNA SYRU",271
"PROPOFOL E",271
"GUAIFENESI",270.59
"APAP WITH",270.5
"BALZIVA TA",270
"EZETIMIBE",269.28
"LUBRICATIN",269.2
"LEVETHEST",268.44
"ZEMPLAR(PA",267
"MAKENA",266.5
"AMPYRA",266.5
"VENLAFAXIN",266.24
"SPIRONOLAC",266.04
"MEFLOQUINE",265.4
"LABETALOL",264.38
"LESSINA TA",263.5
"GILENYA HG",263.5
"OMEPR4ZOLE",263
"IODROL NR",263
"OCELLA TAB",262.75
"ISONIAZID",262.05
"BETHAMETH",261.5
"GNP ARTHRI",261
"AMOX-CLAV",260.8
"CICLOPIROX",260.28
"BANZEL TAB",260
"LAMOTRIGIN",259.13
"PREMPRO 0.",258.75
"SYSTANE BA",258.5
"TRIAM/HCTZ",258.5
"GNP LICE C",257.5
"ULORIC 80M",257
"CLOTRIM 3",257
"NON ASPIRI",256
"MITIGARE (",255.33
"DOXEPIN HC",254.38
"RAMIPRIL 2",254.09
"TACROLIMUS",253
"DEXSAC/AMP",252.83
"XARELTO 10",251.4
"TRIAMETERE",250.5
"Q-DRYL ELI",250
"NABUMETONE",249.71
"AZATHIOPRI",249.43
"JOLIVETTE",249
"DEXTROAMP-",248
"CHLORZOXAZ",247.25
"DEPAKOTE S",247
"OPTIVE ADV",246
"SILACE LIQ",246
"VIMPAT 150",245.25
"VIRT CAPS",245
"BUTALBITAL",244.61
"ARIPIPRAZO",244.26
"LIDOCAINE",243.59
"TECFIDERA",243.2
"LINZESS 72",243
"AMOXICLLIN",242.93
"FINACEA",242.5
"CALCIUM CA",241.67
"LOSARTAN-H",240.25
"LEVETIRACE",238.19
"LOPERAMIDE",236.58
"CALCITRIOL",236.57
"BPL METRON",235.5
"COMBIGAN 0",235.33
"CELLUVISC",235
"GNP ZINC O",235
"LUMIGAN 0.",234.17
"NORLYDA (N",231.5
"CLOT/BETAM",231.5
"BISMATROL",231
"LIDO 2.5%",230.8
"TUDORZA PR",230.33
"ABACAVIR-L",229.5
"STELARA 90",229
"LORAZEPAM",228.23
"BUSPIRONE1",228
"DOXYCYCLIN",227.63
"IBU-200 WH",227.33
"PROPRANOLO",225.53
"SUCRALFATE",225.33
"NYSTATIN T",224.74
"LETROZOLE",224.63
"WELCHOL (C",224.5
"FERRLECIT",224.25
"MINTAX MAX",224
"DOXY DR 10",223
"EMEND 150M",222
"BLISOVI  F",221.75
"REGULAR ST",221.63
"DIAZEPAM 1",221.57
"VIRTUSSIN",221.33
"ANTACID SU",220.67
"CHERATUSSI",220.33
"HALOPERIDO",219.72
"BENOPHEN 2",219.5
"TRULANCE 3",218.5
"DOCU-LIQUI",217.5
"ONGLYZA 5M",217.33
"PAROXETINE",216.85
"NORGESTIMA",216.59
"KEYTRUDA 1",216
"MAPAP 500",215.5
"CALCIPOTRI",215.15
"KEPPRA 500",215
"ADEFOVIR D",215
"MUCINEX 60",215
"TIMOLOL MA",214.72
"PREMARIN T",213.75
"PREMPRO .6",213.5
"LOSARTAN/",212.6
"CHILD ALLE",212.5
"KLOR-CON 2",211.73
"ABACAVIR /",211
"SILACE SYR",210
"ATENOLOL 1",209.92
"PROPYLTHIO",209.8
"PULMOZYME",208.75
"Q-NOL 325M",208
"UREA CREAM",208
"ELINEST 0.",207.25
"ASPIRIN MC",207
"HERCEPTIN",206
"MEPHYTON 5",205.5
"LEVOFLOXAC",204.65
"LEVOCETIRI",203.56
"HYDRALAZIN",203.55
"CHILDRENS",203.14
"CEFADROXIL",202.79
"METHADONE",201.29
"IPRATROP B",200.38
"BISOPROLOL",200.29
"ULTRA LUBR",200
"BYSTOLIC 1",199.25
"ACAMPROSAT",198.63
"HYOSCYAMIN",198.13
"FASLODEX 5",198
"REG STRENG",197.5
"DASETTA 1-",197.33
"NP THYROID",197.25
"ASPIRIN AD",197
"TEGRETOL T",197
"ANTACID WI",196.75
"ASHLYNA TA",195.75
"NICOTINE G",195.72
"NOVOLIN N",195
"TRI LEGEST",195
"ISOSORIBDE",194.78
"CLINDAMCYI",194.5
"ZONISAMIDE",194.38
"CANASA 1G",194.25
"ARMOUR THY",193.15
"SAPHRIS 10",192.5
"VESICARE T",192.33
"NAPROXEN 2",192.06
"KEPPRA ORA",192
"SULFASALAZ",191.67
"SODIUM GLU",191.67
"EMTRIVA",191
"LISIN/HCTZ",190.58
"CEFDINIR F",189.93
"XELJANZ TO",189.75
"BAC ZINC/P",189
"OMEGA-3 ET",188.75
"ATOMOXETIN",188.66
"TAMOXIFEN",188.38
"DIGOXIN EL",188
"DROSPIRENO",187.88
"ISMN ER 60",187.75
"SYSTANE GE",187.67
"MISOPROSTO",187.45
"COPAXONE L",186.5
"SM ALLER&C",186
"Q-PAP CHIL",185.67
"ENTRESTO F",185.5
"FLUOXETENE",185
"VENOFER IR",185
"SODIUM FLU",183.6
"ISOSORBIDE",183.23
"MULTI-VIT/",183
"PINK BISMU",182.55
"DEXA SOL .",182
"EXEMESTANE",181.9
"MELODETTA",181.5
"TRETINOIN",180.9
"CLOZAPINE",179.92
"PINEAPPLE",179.5
"ACID GONE",178.67
"ENTYVIO 30",178.5
"IMIQUIMOD",177.83
"SELZENTRY",177.75
"MYORISAN (",177.29
"B/ASP/C 50",176.5
"PERJETA (P",176.5
"CALCIUM AC",176.33
"GLYB/METFR",176.25
"FUROSEM 10",176.25
"ETODOLAC 4",175.67
"DELZICOL D",175.5
"PRIMODONE",175.25
"NYSTATIN S",175.25
"RITUXAN (R",174.25
"METROPROLO",174.25
"ENTECAVIR",173.34
"DOK 100MG",173.11
"MYRBETRIQ",172.73
"GLYBURIDE",172.54
"VOL-TAB RX",172.5
"NORETHIND-",172.5
"ESOMEPRAZO",171.59
"SAVELLA 50",171.5
"PRADAXA 15",171.5
"INFANT APA",171
"GNP ACETAM",170.33
"FIBER TABS",170.25
"AZOPT",170.25
"LOSSARTAN",170
"ARIPIPAZOL",169.67
"LACRI-LUBE",169.5
"VALSARTAN/",169.1
"TRIAMTEREN",168.78
"ARANESP (D",168.48
"APTIOM 800",167.5
"MERCAPTOPU",167.42
"1 FEREX 15",167
"GLYCERIN P",167
"LUCENTIS -",167
"OPCICON ON",167
"AVONEX (IN",166.5
"CIMZIA PRE",166.5
"ABACAVIR/L",166.5
"SYSTANE UL",166.25
"KYPROLIS (",165
"GENTAMICIN",164.17
"CARTIA XT",164
"PROCTOFOAM",163
"ABACAVIR T",162.67
"PROPOFOL 1",162.6
"WARFARIN S",162.39
"FLUVOXAMIN",162.03
"PHARBEDRYL",162
"EPCLUSA  4",161.5
"DUREZOL",161.5
"DOC-Q-LAX",161.25
"PROCHLORPE",160.74
"KEPPRA 100",160.5
"NOVOLIN R",160
"CILOSTAZOL",159.6
"ISOS DIN T",159.33
"CARBAMAZEP",159.23
"TRIAMTERIN",159
"ADCIRCA (T",158.5
"TORSEMIDE",158.4
"LEVORA TAB",157
"PEG 3350 P",157
"SODIUM CHL",156.72
"DIPHENOXYL",156.64
"DEXILANT 3",156.5
"PROCRIT (E",156.25
"REYATAZ",156.17
"CLINDAMY P",156
"SE-NATAL 1",155.25
"ACTEMRA SC",154.5
"BANZEL 200",153.5
"MINOCYLCIN",153.5
"OLANZAPINE",152.88
"CHLORHEXID",152.67
"NAPROXEN S",152.65
"ELIDEL CRE",152.5
"NUCALA (ME",151.5
"AUBAGIO 14",151
"VALSARTAN-",151
"ALUMINUM H",150.83
"FLUOCINLON",150.5
"NICOTINE P",150.38
"INVOKAMET",150.15
"MESALAMINE",149.89
"VALSARTAN",149.85
"MYCOPHENOL",149.27
"WARFARIN 4",149.13
"ACETAZOLAM",148.83
"VITAFOL-OB",148.33
"CEFUROXIME",147.86
"CUBICIN 50",147.5
"POTASSIUM",147.15
"APTIOM 400",147
"TICE BCG",147
"COMPLETE N",147
"XYREM",146
"ORENCIA",146
"SEVELAMER",145.67
"NATEGLINID",145.59
