Utilization Type	State	Labeler Code	Product Code	Package Size	Year	Quarter	NDC	Product Name	Units 	Prescriptions	Total Amount
MCOU	NY	68462	556	84	2018	1	68462055684	ALYACEN 7/			
FFSU	NY	781	5794	31	2018	1	781579431	AMLODIPINE			
FFSU	NY	36800	516	26	2018	1	36800051626	TUSSIN PE			
FFSU	NY	65162	689	88	2018	1	65162068988	NITROFURAN	"22,054"	87	"28,662.56"
MCOU	NY	42043	143	58	2018	1	42043014358	CEPHALEXIN	"58,300"	272	"7,145.22"
MCOU	NY	42543	707	90	2018	1	42543070790	PRAMIPEXOL	"1,890"	35	276.69
MCOU	NY	781	5936	31	2018	1	781593631	CANDESARTA			
FFSU	NY	378	3950	5	2018	1	378395005	ATORVASTAT	"13,019"	401	"3,092.08"
MCOU	NY	63323	344	10	2018	1	63323034410	CEFTRIAXON			
MCOU	NY	13107	142	5	2018	1	13107014205	CARVEDILOL	"1,794"	34	65.28
FFSU	NY	68180	352	2	2018	1	68180035202	SERTRALINE	"67,161"	"1,942"	"13,627.73"
FFSU	NY	378	147	5	2018	1	378014705	INDOMETHAC			
MCOU	NY	64980	185	1	2018	1	64980018501	GRISEOFULV	"6,682"	128	"25,060.67"
MCOU	NY	62175	261	55	2018	1	62175026155	NIFEDIPINE	"54,664"	"1,585"	"20,045.52"
MCOU	NY	59762	410	3	2018	1	59762041003	ATAZANAVIR	"22,010"	734	"760,323.49"
MCOU	NY	50383	286	4	2018	1	50383028604	LEVOFLOXAC	"4,082"	31	"3,581.50"
MCOU	NY	65862	475	5	2018	1	65862047505	RAMIPRIL C			
FFSU	NY	16571	201	10	2018	1	16571020110	DICLOFENAC	"2,548"	49	492.29
FFSU	NY	54436	20	4	2018	1	54436002004	OTREXUP (M			
FFSU	NY	76045	9	5	2018	1	76045000905	DILAUDID H			
FFSU	NY	68382	186	1	2018	1	68382018601	GLIPIZIDE	"2,840"	45	"1,759.77"
MCOU	NY	186	917	6	2018	1	186091706	PULMICORT	"1,106"	"1,041"	"185,223.84"
MCOU	NY	61314	144	15	2018	1	61314014415	BRIMONIDIN	"2,150"	157	"36,578.29"
FFSU	NY	61314	126	10	2018	1	61314012610	KETOROLAC			
MCOU	NY	54	292	25	2018	1	54029225	ESZOPICLON	"2,012"	78	"1,506.43"
MCOU	NY	62011	98	1	2018	1	62011009801	HEALTH MAR			
MCOU	NY	66869	147	30	2018	1	66869014730	LIPOFEN			
FFSU	NY	55111	718	30	2018	1	55111071830	LAMOTRIGIN	"1,574"	32	"4,003.14"
MCOU	NY	59746	460	30	2018	1	59746046030	PAROXETINE			
MCOU	NY	27241	108	6	2018	1	27241010806	CLONIDINE	"3,915"	54	"8,841.94"
FFSU	NY	62559	461	90	2018	1	62559046190	FENOFIBRAT			
FFSU	NY	50111	787	10	2018	1	50111078710	AZITHROMYC	451	59	841.66
FFSU	NY	68180	281	1	2018	1	68180028101	ETHAMBUTOL	"1,474"	25	"1,116.50"
MCOU	NY	904	5833	48	2018	1	904583348	LORATADINE	"47,705"	"1,783"	"21,183.53"
MCOU	NY	68001	334	0	2018	1	68001033400	LISINOPRIL	974	31	73.94
MCOU	NY	63304	622	10	2018	1	63304062210	ATENOLOL T	"25,724"	766	"1,532.86"
MCOU	NY	68001	246	17	2018	1	68001024617	ONDANSETRO	"4,125"	351	"1,662.60"
MCOU	NY	47781	533	72	2018	1	47781053372	FLUOCINONI			
MCOU	NY	6	5	30	2018	1	6000530	BELSOMRA 5			
MCOU	NY	69	137	3	2018	1	69013703	HEPARIN 10			
MCOU	NY	65862	560	99	2018	1	65862056099	PANTOPRRAZ	"198,691"	"6,231"	"16,784.24"
FFSU	NY	59746	172	6	2018	1	59746017206	PREDNISONE	"2,435"	56	515.95
FFSU	NY	47335	894	83	2018	1	47335089483	CLOPIDOGRE	"1,050"	33	236.1
FFSU	NY	49348	981	15	2018	1	49348098115	SM APIRIN	"1,080"	18	104.8
MCOU	NY	43386	710	9	2018	1	43386071009	QUINAPRIL	"1,050"	33	469.42
FFSU	NY	59762	5009	1	2018	1	59762500901	CLINDAMYCI	"1,720"	43	"3,236.03"
FFSU	NY	781	3210	46	2018	1	781321046	CEFTRIAXON			
MCOU	NY	378	5305	1	2018	1	378530501	ZOLPIDEM T	"10,570"	392	"1,054.53"
MCOU	NY	68382	33	5	2018	1	68382003305	DIVALPROEX	"20,102"	315	"6,782.34"
FFSU	NY	121	577	8	2018	1	121057708	LACTULOSE			
MCOU	NY	63868	338	12	2018	1	63868033812	ANTI DIARR			
FFSU	NY	378	355	1	2018	1	378035501	DICLOFENAC			
MCOU	NY	68180	846	13	2018	1	68180084613	DAYSEE  (L	"3,367"	37	"4,960.69"
MCOU	NY	43386	356	10	2018	1	43386035610	HYDROCODON	"9,556"	209	"1,482.11"
MCOU	NY	59762	4910	3	2018	1	59762491003	SERTRALINE			
FFSU	NY	904	6290	61	2018	1	904629061	ATORVASTAT	919	48	314.39
FFSU	NY	904	6537	20	2018	1	904653720	ROBAFEN CF			
MCOU	NY	591	5555	10	2018	1	591555510	PROPRANOLO	"14,344"	220	"2,984.39"
MCOU	NY	27241	5	6	2018	1	27241000506	RISPERIDON	"56,420"	"1,446"	"8,591.65"
FFSU	NY	603	6240	32	2018	1	603624032	TRIHEXYPHE			
MCOU	NY	409	6730	13	2018	1	409673013	MAGNESIUM			
FFSU	NY	536	1372	34	2018	1	536137234	NICOTINE G			
FFSU	NY	781	7243	55	2018	1	781724355	FENTANYL M			
FFSU	NY	70003	300	65	2018	1	70003030065	NITROGLYCE			
MCOU	NY	70000	108	2	2018	1	70000010802	LDR ENEMA			
FFSU	NY	61570	131	50	2018	1	61570013150	SILVADENE			
FFSU	NY	51862	64	10	2018	1	51862006410	DIAZEPAM 1			
MCOU	NY	781	2202	5	2018	1	781220205	TEMAZEPAM			
MCOU	NY	76439	130	4	2018	1	76439013004	ALENDRONAT	116	29	85.71
MCOU	NY	43598	316	30	2018	1	43598031630	AMLODIPINE			
FFSU	NY	2	7678	1	2018	1	2767801	CYRAMZA	555.5	15	"62,289.20"
MCOU	NY	24385	106	80	2018	1	24385010680	ANTACID TA	"2,969"	40	69.62
FFSU	NY	36800	224	80	2018	1	36800022480	LOPERAMIDE			
FFSU	NY	168	407	99	2018	1	168040799	CICLOPIROX			
FFSU	NY	228	2803	50	2018	1	228280350	SPIRONOLAC	"7,131"	186	"1,374.10"
MCOU	NY	24385	629	78	2018	1	24385062978	ACETAMINOP	"18,057"	323	792.98
FFSU	NY	603	3590	17	2018	1	603359017	GILDAGIA			
MCOU	NY	51079	58	20	2018	1	51079005820	CHLORTHALI	"1,335"	46	748.93
MCOU	NY	68180	352	9	2018	1	68180035209	SERTRALINE	"24,419.50"	787	"2,789.36"
FFSU	NY	409	2168	2	2018	1	409216802	MAGNESIUM	315	243	160.83
MCOU	NY	54092	191	12	2018	1	54092019112	PENTASA 50	"197,201"	"1,094"	"1,169,150.59"
MCOU	NY	65862	62	99	2018	1	65862006299	METOPROLOL	"69,801"	"1,241"	"2,891.54"
MCOU	NY	57664	759	99	2018	1	57664075999	OLMESARTAN			
FFSU	NY	93	7156	98	2018	1	93715698	SIMVASTATI	570	15	123.36
MCOU	NY	51672	1323	4	2018	1	51672132304	CICLOPIROX	780	13	663.78
MCOU	NY	42023	112	1	2018	1	42023011201	DELESTROGE	45.5	19	"6,324.24"
MCOU	NY	51862	45	1	2018	1	51862004501	AMETHIA LO			
MCOU	NY	6	3801	18	2018	1	6380118	MAXALT-MLT	294	24	"10,512.08"
MCOU	NY	378	8015	10	2018	1	378801510	LANSOPRAZO			
MCOU	NY	904	6506	61	2018	1	904650661	MEMANTINE			
MCOU	NY	13668	137	1	2018	1	13668013701	ESCITALOPR	"20,613"	664	"4,426.44"
MCOU	NY	43547	254	50	2018	1	43547025450	CARVEDILOL	"17,680"	311	630.92
MCOU	NY	53746	642	1	2018	1	53746064201	FLECAINIDE			
MCOU	NY	63868	47	15	2018	1	63868004715	CALCIUM AN			
MCOU	NY	378	3351	99	2018	1	378335199	ESTRADIOL	88	20	"1,225.22"
FFSU	NY	36800	388	10	2018	1	36800038810	NASAL SPRA	375	11	68.23
MCOU	NY	37205	282	26	2018	1	37205028226	IBUPROFEN	"164,208.70"	"1,051"	"4,709.92"
MCOU	NY	591	2605	5	2018	1	591260505	HYDROCODON	"75,278"	"1,201"	"14,219.50"
FFSU	NY	68382	923	86	2018	1	68382092386	ELETRIPTAN			
MCOU	NY	172	3760	60	2018	1	172376060	LISINOPRIL	"12,330"	401	749.06
MCOU	NY	49348	182	43	2018	1	49348018243	SM ALLERGY	"2,653.20"	268	"1,755.66"
MCOU	NY	264	7750	0	2018	1	264775000	LACTATED R	"1,044"	617	"1,292,812.13"
MCOU	NY	59011	752	4	2018	1	59011075204	BUTRANS (B	186	45	"32,386.96"
MCOU	NY	33342	240	11	2018	1	33342024011	METFORMIN	"4,560"	89	395.07
MCOU	NY	63739	251	10	2018	1	63739025110	VALPROIC A			
FFSU	NY	781	5619	92	2018	1	781561992	VALSARTAN			
MCOU	NY	64720	292	11	2018	1	64720029211	GLYBURIDE	"2,970"	34	272.57
FFSU	NY	378	152	10	2018	1	378015210	CLONIDINE	"60,367"	946	"5,190.80"
FFSU	NY	69315	210	1	2018	1	69315021001	METHENAMIN			
FFSU	NY	68001	321	4	2018	1	68001032104	BUPROPION			
MCOU	NY	59148	37	13	2018	1	59148003713	REXULTI 1.	"15,522"	519	"513,026.78"
MCOU	NY	67253	149	44	2018	1	67253014944	AMOXICILLI			
MCOU	NY	115	1234	13	2018	1	115123413	OXYMORPHON	"14,755"	212	"143,539.63"
MCOU	NY	57664	399	13	2018	1	57664039913	GLIPIZIDE			
FFSU	NY	62332	54	31	2018	1	62332005431	CLONIDINE	"9,603"	173	974.33
MCOU	NY	143	9726	1	2018	1	143972601	TESTOSTERO	"2,090.59"	306	"20,281.33"
MCOU	NY	63833	615	2	2018	1	63833061502	HUMATE-P L			
MCOU	NY	74	576	22	2018	1	74057622	VENCLEXTA	"2,108"	18	"190,146.83"
FFSU	NY	31722	531	1	2018	1	31722053101	TORSEMIDE	"13,795"	253	"2,670.82"
MCOU	NY	378	7100	77	2018	1	378710077	FENOFIBRAT	"17,785"	574	"6,720.80"
MCOU	NY	603	3633	16	2018	1	603363316	FINASTERID	510	17	93.35
MCOU	NY	31722	739	60	2018	1	31722073960	LAMIVUDINE			
MCOU	NY	603	6160	28	2018	1	603616028	TRAZODONE	"19,766"	553	"1,578.09"
MCOU	NY	27241	18	9	2018	1	27241001809	MONTELUKAS	"8,160"	247	"2,085.62"
FFSU	NY	591	2318	19	2018	1	591231819	VALSARTAN			
FFSU	NY	68084	562	21	2018	1	68084056221	CARBAMAZEP			
MCOU	NY	45802	105	1	2018	1	45802010501	FLUTICASON	"169,117"	"10,694"	"134,985.72"
MCOU	NY	67457	340	1	2018	1	67457034001	VANCOMYCIN			
FFSU	NY	143	9740	10	2018	1	143974010	PREDNISONE	"6,817"	154	"1,273.18"
FFSU	NY	781	5793	31	2018	1	781579331	AZITHROMYC	148	16	457.97
FFSU	NY	62011	247	1	2018	1	62011024701	HEALTH MAR	"5,846"	31	171.35
FFSU	NY	69	122	1	2018	1	69012201	TESSALON B			
FFSU	NY	187	730	30	2018	1	187073030	WELLBUTRIN			
MCOU	NY	54	291	25	2018	1	54029125	ESZOPICLON	850	27	873.23
FFSU	NY	64764	80	60	2018	1	64764008060	AMITIZA (L	"4,436"	80	"27,042.95"
MCOU	NY	832	228	0	2018	1	832022800	MORPHINE S	660	13	"3,715.22"
MCOU	NY	378	4883	1	2018	1	378488301	VENLAFAXIN			
MCOU	NY	904	6376	61	2018	1	904637661	OLANZAPINE			
FFSU	NY	43547	384	50	2018	1	43547038450	GABAPENTIN	"11,923"	166	"1,535.25"
FFSU	NY	63323	186	10	2018	1	63323018610	SODIUM CHL	"2,359"	18	199.12
MCOU	NY	67457	339	50	2018	1	67457033950	VANCOMYCIN	64	16	"1,685.72"
MCOU	NY	172	5033	60	2018	1	172503360	LISINOPRIL	"3,000"	100	241.59
FFSU	NY	16714	72	4	2018	1	16714007204	BACLOFEN T	"5,935"	60	"1,550.63"
MCOU	NY	2	8715	1	2018	1	2871501	HUMULIN 70	"24,750"	"1,319"	"360,078.71"
MCOU	NY	68180	401	1	2018	1	68180040101	CEFPROZIL			
FFSU	NY	93	4067	1	2018	1	93406701	PRAZOSIN 1	"4,414"	112	"2,288.05"
MCOU	NY	57237	171	30	2018	1	57237017130	ROSUVASTAT	"3,891"	132	"5,012.27"
MCOU	NY	472	1326	26	2018	1	472132626	HYDROCORTI	"5,690.80"	117	939.71
FFSU	NY	517	2340	99	2018	1	517234099	PREMIER VE			
MCOU	NY	64380	752	16	2018	1	64380075216	METHOXSALE			
MCOU	NY	409	4229	1	2018	1	409422901	ZOLEDRONIC			
FFSU	NY	60505	847	3	2018	1	60505084703	FLUTICASON	528	33	338.33
MCOU	NY	63833	828	2	2018	1	63833082802	HAEGARDA 2			
FFSU	NY	68001	322	3	2018	1	68001032203	BUPROPION	584	19	402.33
FFSU	NY	591	796	1	2018	1	591079601	SULFASALAZ	"8,997.60"	79	"1,809.90"
FFSU	NY	51079	931	20	2018	1	51079093120	CARVEDILOL			
MCOU	NY	49348	921	10	2018	1	49348092110	ARTHRITIS	"7,461"	128	384.57
FFSU	NY	68180	122	2	2018	1	68180012202	CEPHALEXIN	"21,667"	896	"6,257.02"
FFSU	NY	555	484	2	2018	1	555048402	LEUCOVORIN			
MCOU	NY	115	1524	1	2018	1	115152401	URSODIOL 2	"2,673"	36	"3,915.96"
FFSU	NY	904	6341	61	2018	1	904634161	METOPROLOL			
FFSU	NY	54	244	25	2018	1	54024425	CODEINE SU			
MCOU	NY	55111	399	5	2018	1	55111039905	LANSOPRAZO	"10,224"	340	"5,338.67"
MCOU	NY	68180	590	1	2018	1	68180059001	RAMIPRIL 5	"56,203"	"1,709"	"5,243.89"
FFSU	NY	17478	763	6	2018	1	17478076306	DROBABINOL			
FFSU	NY	57237	169	90	2018	1	57237016990	ROSUVASTAT	"2,643"	79	914.43
MCOU	NY	16714	660	1	2018	1	16714066001	OMEGA3 ACI	"8,700"	87	"6,299.60"
FFSU	NY	168	432	24	2018	1	168043224	IMIQUIMOD	240	14	328.4
FFSU	NY	472	1738	3	2018	1	472173803	MICONAZOLE	99	29	"1,529.85"
MCOU	NY	16714	683	2	2018	1	16714068302	SIMVASTATI	"7,727"	252	534.99
FFSU	NY	63868	2	14	2018	1	63868000214	NATURALAX			
FFSU	NY	78	341	61	2018	1	78034161	SANDOSTATI			
FFSU	NY	115	1526	8	2018	1	115152608	LAMOTRIGIN			
FFSU	NY	18860	121	1	2018	1	18860012101	VERSACLOZ			
MCOU	NY	406	8380	62	2018	1	406838062	MORPHINE S			
MCOU	NY	93	7772	93	2018	1	93777293	CLOZAPINE	"1,279"	21	869.84
FFSU	NY	93	50	1	2018	1	93005001	ACETAMINOP	740	20	213.55
MCOU	NY	406	9050	76	2018	1	406905076	FENTANYL T	"3,885"	387	"23,167.89"
FFSU	NY	67877	216	60	2018	1	67877021660	CEFUROXIME	932	62	"1,335.55"
FFSU	NY	63402	302	30	2018	1	63402030230	LATUDA (LU	"8,912"	307	"353,978.29"
FFSU	NY	2	4116	30	2018	1	2411630	ZYPREXA			
FFSU	NY	68180	514	1	2018	1	68180051401	LISINOPRIL	"4,965"	140	851.07
MCOU	NY	430	979	3	2018	1	430097903	ATELVIA DR	15	15	"3,692.22"
MCOU	NY	68382	139	5	2018	1	68382013905	TOPIRAMATE	"126,883"	"2,147"	"15,090.71"
MCOU	NY	64764	125	30	2018	1	64764012530	NESINA 12.			
FFSU	NY	57237	24	1	2018	1	57237002401	GLYBURIDE			
FFSU	NY	24385	205	3	2018	1	24385020503	CLOTRIMAZO			
MCOU	NY	51079	121	1	2018	1	51079012101	LANSOPRAZO			
MCOU	NY	597	185	90	2018	1	597018590	MIRAPEX 0.			
MCOU	NY	781	5583	15	2018	1	781558315	ALTAVERA 0	"31,528"	"1,124"	"13,349.90"
MCOU	NY	43068	104	2	2018	1	43068010402	FANAPT 4MG	"1,699"	41	"30,299.27"
FFSU	NY	61703	332	18	2018	1	61703033218	BLEOMYCIN			
MCOU	NY	10370	268	1	2018	1	10370026801	TRETINOIN			
FFSU	NY	115	1662	2	2018	1	115166202	PROPRANOLO	"10,185"	85	"4,160.44"
MCOU	NY	50458	541	60	2018	1	50458054160	INVOKAMET	"36,284"	622	"273,507.87"
FFSU	NY	378	228	93	2018	1	378022893	PIOGLITAZO	"1,050"	27	316
FFSU	NY	93	670	5	2018	1	93067005	GEMFIBROZI	"14,733"	248	"2,609.60"
FFSU	NY	62756	521	88	2018	1	62756052188	SUMATRIPTA	134	15	144.08
FFSU	NY	93	784	6	2018	1	93078406	TAMOXIFEN			
MCOU	NY	574	2020	7	2018	1	574202007	COLOCORT	"75,420"	55	"5,738.10"
FFSU	NY	45802	732	30	2018	1	45802073230	ACETAMINOP	"2,549"	123	"1,304.32"
MCOU	NY	36800	328	30	2018	1	36800032830	SORE THROA			
FFSU	NY	47335	903	18	2018	1	47335090318	QUETIAPINE	"1,907"	34	286.84
MCOU	NY	904	6341	61	2018	1	904634161	METOPROLOL			
MCOU	NY	62756	446	2	2018	1	62756044602	CARISOPROD	960	12	76.1
MCOU	NY	27241	7	12	2018	1	27241000712	LEVETIRACE			
MCOU	NY	68382	53	10	2018	1	68382005310	WARFARIN S			
MCOU	NY	113	622	64	2018	1	113062264	EXTRA STRE			
FFSU	NY	245	360	30	2018	1	245036030	KLOR-CON O			
MCOU	NY	63304	191	30	2018	1	63304019130	DESVENLAFA	"1,549"	52	"7,293.40"
MCOU	NY	832	513	0	2018	1	832051300	BETHANECHO	"1,261"	17	"1,037.46"
MCOU	NY	50383	62	12	2018	1	50383006212	GUAIFENESI			
MCOU	NY	44567	236	10	2018	1	44567023610	CEFTAZIDIM			
FFSU	NY	93	5419	1	2018	1	93541901	CLOZAPINE	"2,542"	31	"14,788.55"
FFSU	NY	51862	273	1	2018	1	51862027301	CLOZAPINE	"2,035"	33	"1,945.50"
FFSU	NY	68382	36	10	2018	1	68382003610	VENLAFAXIN	"2,743"	89	"1,046.88"
FFSU	NY	93	149	5	2018	1	93014905	NAPROXEN T	"2,699.33"	59	377.53
MCOU	NY	603	5168	21	2018	1	603516821	PHENOBARBI	"6,736"	146	"4,695.51"
MCOU	NY	51079	890	19	2018	1	51079089019	RIFAMPIN 3			
FFSU	NY	93	8940	1	2018	1	93894001	ACYCLOVIR	717	23	194.33
FFSU	NY	68382	412	5	2018	1	68382041205	OMEPRAZOLE			
FFSU	NY	16714	509	1	2018	1	16714050901	OMEPRAZOLE			
FFSU	NY	259	1610	1	2018	1	259161001	XEOMIN	"10,225"	50	"53,127.88"
FFSU	NY	13107	21	1	2018	1	13107002101	HYDROCODON			
FFSU	NY	68462	105	30	2018	1	68462010530	ONDANSETRO	"8,082"	353	"2,516.68"
MCOU	NY	904	5551	59	2018	1	904555159	BANOPHEN 2	"25,615"	621	"57,233.64"
FFSU	NY	50742	315	50	2018	1	50742031550	BETAMETHAS			
MCOU	NY	51672	1304	6	2018	1	51672130406	TERCONAZOL	"412,277"	"9,149"	"205,086.96"
MCOU	NY	65862	933	30	2018	1	65862093330	NEVIRAPINE	"1,230"	41	"17,361.60"
MCOU	NY	574	2002	16	2018	1	574200216	KIONEX SOD	"100,696"	182	"9,372.75"
FFSU	NY	781	7287	50	2018	1	781728750	CLINDAMY/B	42	41	"7,666.61"
MCOU	NY	68382	702	1	2018	1	68382070201	POTTASSIUM	610	15	200.35
MCOU	NY	93	5517	98	2018	1	93551798	SILDENAFIL	"4,998"	65	"26,926.05"
MCOU	NY	603	6343	28	2018	1	603634328	VALSARTAN			
FFSU	NY	50383	700	16	2018	1	50383070016	FLUTICASON	"43,760"	"2,723"	"28,859.66"
MCOU	NY	61314	656	25	2018	1	61314065625	CIPROFLOXA	"1,327.50"	469	"2,516.17"
MCOU	NY	378	7105	1	2018	1	378710501	OXYCODONE			
MCOU	NY	37205	968	58	2018	1	37205096858	NICOTINE G			
MCOU	NY	93	5030	56	2018	1	93503056	TIAGABINE	"2,100"	28	"11,089.74"
MCOU	NY	42192	320	30	2018	1	42192032030	PNV - SELE			
MCOU	NY	59746	457	30	2018	1	59746045730	PAROXETINE			
FFSU	NY	63323	126	0	2018	1	63323012600	GEMCITABIN	309	55	"1,787.86"
FFSU	NY	603	5482	21	2018	1	603548221	PROPRANOLO	"13,378"	192	"2,644.17"
MCOU	NY	68001	188	5	2018	1	68001018805	QUINAPRIL	968	31	122.23
MCOU	NY	49483	602	50	2018	1	49483060250	IBUPROFEN	"77,957"	"1,937"	"3,140.01"
MCOU	NY	168	271	15	2018	1	168027115	MOMETASONE	"6,765"	284	"2,733.21"
MCOU	NY	42806	144	48	2018	1	42806014448	DEMECLOCYC	581	18	"4,741.49"
FFSU	NY	50458	642	65	2018	1	50458064265	TOPAMAX TA	"6,855"	92	"118,935.30"
FFSU	NY	69452	150	20	2018	1	69452015020	VALPROIC A	"49,646"	483	"14,134.49"
MCOU	NY	884	5493	1	2018	1	884549301	FUNGOID TI			
FFSU	NY	173	761	0	2018	1	173076100	LAMICTAL X	"3,240"	56	"117,840.29"
FFSU	NY	58468	1849	4	2018	1	58468184904	THYROGEN 0			
FFSU	NY	68084	415	1	2018	1	68084041501	DIVALPROEX			
FFSU	NY	10019	957	1	2018	1	10019095701	CYCLOPHOSP	64.6	31	"12,730.63"
MCOU	NY	62175	892	41	2018	1	62175089241	ATORVASTAT	"150,980"	"5,018"	"50,623.51"
FFSU	NY	68180	324	1	2018	1	68180032401	ESZOPICLON			
MCOU	NY	67877	538	7	2018	1	67877053807	TEMOZOLOMI			
MCOU	NY	135	510	7	2018	1	135051007	NICORETTE			
MCOU	NY	63459	412	30	2018	1	63459041230	GABITRIL 1			
MCOU	NY	68645	459	70	2018	1	68645045970	ATORVASTAT			
FFSU	NY	43547	397	11	2018	1	43547039711	HYDROCHLOR			
MCOU	NY	781	4066	15	2018	1	781406615	ISIBLOOM 0	"2,660"	95	"1,176.47"
MCOU	NY	13107	157	30	2018	1	13107015730	PAROXETINE	"13,429"	444	"2,070.31"
FFSU	NY	51672	4041	2	2018	1	51672404102	CARBAMAZEP	"17,551"	125	"6,658.68"
FFSU	NY	60505	2579	9	2018	1	60505257909	ATORVASTAT	"49,396"	"1,402"	"11,780.70"
FFSU	NY	591	3798	30	2018	1	591379830	IPRATROPIU	"20,182.50"	114	"1,639.87"
FFSU	NY	57237	207	90	2018	1	57237020790	LOSARTAN P			
MCOU	NY	55111	293	9	2018	1	55111029309	SUMATRIPTA	"18,605"	"2,047"	"13,896.69"
FFSU	NY	603	5763	28	2018	1	603576328	SPIRONOLAC	"2,012"	55	408.44
FFSU	NY	67877	288	90	2018	1	67877028890	FINASTERID			
MCOU	NY	64720	135	10	2018	1	64720013510	MIXED AMPH	"34,200"	648	"21,302.53"
MCOU	NY	54458	889	10	2018	1	54458088910	CITALOPRAM	510	16	23.52
MCOU	NY	781	5317	10	2018	1	781531710	ZOLPIDEM 5	"39,426"	"1,479"	"3,406.52"
MCOU	NY	591	5661	1	2018	1	591566101	SULINDAC T	"2,562"	45	331.13
FFSU	NY	68180	102	2	2018	1	68180010202	VALSARTAN			
FFSU	NY	904	6545	61	2018	1	904654561	NIFEDIPINE			
MCOU	NY	49884	726	1	2018	1	49884072601	DOXYCYCLIN	"6,897"	167	"2,149.26"
MCOU	NY	781	1078	1	2018	1	781107801	ATENOLOL 2	"21,237.48"	638	"1,609.13"
MCOU	NY	62756	552	88	2018	1	62756055288	OLANZAPINE			
MCOU	NY	47335	928	60	2018	1	47335092860	RISEDRONAT	56	56	"5,227.75"
FFSU	NY	68180	320	6	2018	1	68180032006	BUPROPION	"4,358"	145	"3,277.13"
MCOU	NY	51079	767	56	2018	1	51079076756	DIVALPROEX			
MCOU	NY	62332	26	31	2018	1	62332002631	THEOPHYLLI	870	15	"2,700.36"
MCOU	NY	42292	27	20	2018	1	42292002720	PALIPERIDO			
MCOU	NY	409	7983	9	2018	1	409798309	SODIUM CL	"1,334,108"	"1,051"	"545,957.64"
