"UTLIZATION_TYPE","STATE_NAME","LABELER_CODE","PRODUCT_CODE","PACKAGE_SIZE","NDC","YEAR_NUMBER","QUARTER","PRODUCT_NAME","PRESCRIPTIONS","TOTAL_NUMBER","UNITS"
"MCOU","NY",591,5661,1,"591566101",2018,1,"SULINDAC T",2562,45,331.13
"FFSU","NY",68180,102,2,"68180010202",2018,1,"VALSARTAN",,,
"FFSU","NY",904,6545,61,"904654561",2018,1,"NIFEDIPINE",,,
"MCOU","NY",49884,726,1,"49884072601",2018,1,"DOXYCYCLIN",6897,167,2149.26
"MCOU","NY",781,1078,1,"781107801",2018,1,"ATENOLOL 2",21237.48,638,1609.13
"MCOU","NY",62756,552,88,"62756055288",2018,1,"OLANZAPINE",,,
"MCOU","NY",47335,928,60,"47335092860",2018,1,"RISEDRONAT",56,56,5227.75
"FFSU","NY",68180,320,6,"68180032006",2018,1,"BUPROPION",4358,145,3277.13
"MCOU","NY",51079,767,56,"51079076756",2018,1,"DIVALPROEX",,,
"MCOU","NY",62332,26,31,"62332002631",2018,1,"THEOPHYLLI",870,15,2700.36
"MCOU","NY",409,7983,9,"409798309",2018,1,"SODIUM CL",1334108,1051,545957.64
"FFSU","NY",781,2790,31,"781279031",2018,1,"OMEPRAZOLE",1528,48,390.14
"MCOU","NY",904,3220,35,"904322035",2018,1,"EAR DROPS",19305,1253,2133.73
"FFSU","NY",16252,617,90,"16252061790",2018,1,"ROSUVASTAT",,,
"FFSU","NY",42023,163,1,"42023016301",2018,1,"ZOLEDRONIC",,,
"FFSU","NY",378,9116,93,"378911693",2018,1,"NITROGLYCE",,,
"MCOU","NY",113,9458,39,"113945839",2018,1,"CETIRIZINE",,,
"FFSU","NY",60505,3221,6,"60505322106",2018,1,"RIVASTIGMI",,,
"FFSU","NY",603,6160,28,"603616028",2018,1,"TRAZODONE",6589,231,1522.7
"MCOU","NY",56,170,1,"56017001",2018,1,"COUMADIN",,,
"MCOU","NY",52544,44,80,"52544004480",2018,1,"CORDRAN FL",,,
"FFSU","NY",29033,30,1,"29033003001",2018,1,"ACETAZOLAM",,,
"MCOU","NY",143,1348,5,"143134805",2018,1,"NAPROXEN 5",,,
"FFSU","NY",93,5173,55,"93517355",2018,1,"NIFEDIPHIN",2688,58,1004.08
"MCOU","NY",65862,134,99,"65862013499",2018,1,"HYDROCHLOR",720,24,30.39
"MCOU","NY",76204,200,25,"76204020025",2018,1,"ALBUTEROL",3207432.13,24785,146835.15
"MCOU","NY",603,4214,2,"603421402",2018,1,"LISINOPRIL",,,
"MCOU","NY",713,635,15,"713063515",2018,1,"MOMETASONE",9240,313,5411.26
"MCOU","NY",259,1605,1,"259160501",2018,1,"XEOMIN",,,
"MCOU","NY",43386,480,28,"43386048028",2018,1,"ORPHENADRI",,,
"FFSU","NY",59762,1516,1,"59762151601",2018,1,"CELECOXIB",1092,24,540.93
"FFSU","NY",378,1132,1,"378113201",2018,1,"NADOLOL 80",,,
"FFSU","NY",16714,353,1,"16714035301",2018,1,"FLUOXETINE",3575,85,445.74
"MCOU","NY",378,435,1,"378043501",2018,1,"BUPROPION",17226,338,6284.85
"MCOU","NY",27808,36,1,"27808003601",2018,1,"HYDROCODON",4993,94,930.67
"MCOU","NY",378,1413,77,"378141377",2018,1,"OLMESARTAN",,,
"MCOU","NY",45945,155,2,"45945015502",2018,1,"GABLOFEN 5",,,
"MCOU","NY",43547,349,9,"43547034909",2018,1,"PAROXETINE",15135,436,2025.99
"MCOU","NY",58468,41,1,"58468004101",2018,1,"FABRAZYME",,,
